seed,num_protons,proton_energy_eV,modulation_frequency_hz,incidence_angle_rad,beam_radius,gap_width,grid_spacing,grid_height,wire_radius,collector_voltage,suppressor_voltage,secondary_energy_model,secondary_direction_model,valid_proton_impacts,total_emitted_electrons,returned_to_collector_count,ions_with_hopper_count,same_quadrant_count,different_quadrant_count,gap_count,outside_count,hit_wire_count,passed_grid_opening_count,did_not_return_count,solver_failure_count,ion_hopping_probability,electron_hopping_probability,return_probability
0,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-20.0,exponential,cosine_weighted,9868,1301,1075,168,893,169,13,1,42,183,0,0,0.017024726388325903,0.1299000768639508,0.8262874711760184
1,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-20.0,exponential,cosine_weighted,9885,1327,1112,176,926,177,9,0,49,166,0,0,0.01780475467880627,0.1333835719668425,0.8379804069329314
2,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-20.0,exponential,cosine_weighted,9878,1336,1116,159,943,161,12,0,40,180,0,0,0.016096375784571775,0.12050898203592815,0.8353293413173652
0,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-35.0,exponential,cosine_weighted,9868,1301,1159,131,1014,133,12,0,43,99,0,0,0.013275233076611269,0.10222905457340507,0.8908531898539584
1,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-35.0,exponential,cosine_weighted,9885,1327,1195,159,1026,160,9,0,40,92,0,0,0.016084977238239758,0.12057272042200452,0.9005275056518462
2,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-35.0,exponential,cosine_weighted,9878,1336,1183,135,1036,138,9,0,30,123,0,0,0.013666734156711885,0.10329341317365269,0.8854790419161677
0,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-55.0,exponential,cosine_weighted,9868,1301,1201,95,1091,97,13,1,31,68,0,0,0.009627077421970004,0.07455803228285934,0.9231360491929285
1,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-55.0,exponential,cosine_weighted,9885,1327,1229,100,1117,100,12,0,32,66,0,0,0.010116337885685382,0.07535795026375283,0.9261492087415222
2,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-55.0,exponential,cosine_weighted,9878,1336,1222,100,1109,102,11,0,33,81,0,0,0.010123506782749545,0.07634730538922156,0.9146706586826348
0,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-75.0,exponential,cosine_weighted,9868,1301,1230,83,1134,84,12,0,20,51,0,0,0.008411025537089582,0.06456571867794005,0.9454265949269792
1,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-75.0,exponential,cosine_weighted,9885,1327,1253,80,1158,80,15,0,25,49,0,0,0.008093070308548306,0.06028636021100226,0.9442351168048229
2,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-75.0,exponential,cosine_weighted,9878,1336,1248,84,1152,85,11,0,33,55,0,0,0.008503745697509618,0.06362275449101797,0.9341317365269461
0,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-100.0,exponential,cosine_weighted,9868,1301,1249,71,1162,71,16,0,18,34,0,0,0.007194973652209161,0.054573405073020755,0.9600307455803229
1,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-100.0,exponential,cosine_weighted,9885,1327,1269,68,1193,68,8,0,20,38,0,0,0.00687910976226606,0.05124340617935192,0.9562923888470234
2,10000,800.0,1024.0,0.0,0.01,0.0001,0.0035,0.0039,0.00025,0.0,-100.0,exponential,cosine_weighted,9878,1336,1259,58,1189,59,11,0,22,55,0,0,0.005871633933994736,0.04416167664670659,0.9423652694610778
