design_id,num_seeds,num_protons_per_seed,collector_radius_mm,beam_radius_mm,gap_width_mm,proton_energy_eV,incidence_angle_deg,grid_spacing_mm,grid_height_mm,wire_radius_mm,collector_voltage,suppressor_voltage,secondary_energy_model,secondary_direction_model,num_protons,valid_proton_impacts,total_emitted_electrons,returned_to_collector_count,ions_with_hopper_count,same_quadrant_count,different_quadrant_count,gap_count,outside_count,hit_wire_count,passed_grid_opening_count,did_not_return_count,solver_failure_count,ion_hopping_probability,electron_hopping_probability,return_probability
0,2,3000,58.0,10.0,0.22058796581203588,742.194584610002,-33.55681526728664,2.9609295267466744,2.7036236043401214,0.3030236266639434,0.0,-93.86759984216451,exponential,cosine_weighted,6000,5839,627,548,10,533,10,5,0,43,36,0,0,0.0017126220243192328,0.01594896331738437,0.8740031897926634
1,2,3000,58.0,10.0,0.11914359944927656,4188.895527168509,46.78712317334231,3.7824261380738298,2.979858404275186,0.30606039902435284,0.0,-37.101037070007635,exponential,cosine_weighted,6000,5916,4129,3367,208,3128,215,24,3,278,481,0,0,0.03515889114266396,0.05207071930249455,0.8154516832162751
2,2,3000,58.0,10.0,0.23536676305867743,3334.7309206535638,51.28887102302004,3.079770471516047,5.196500514480332,0.22954125921317853,0.0,-38.5244499853654,exponential,cosine_weighted,6000,5852,3694,3534,308,3121,333,80,0,29,131,0,0,0.05263157894736842,0.09014618299945858,0.9566865186789388
3,2,3000,58.0,10.0,0.09147599831018614,2740.0503582400725,9.92695687383839,2.9608449685711995,2.059579667040929,0.2177833072226152,0.0,-78.25946625466094,exponential,cosine_weighted,6000,5932,3091,2500,37,2455,37,8,4,268,319,0,0,0.006237356709372893,0.011970236169524426,0.8087997411840828
4,2,3000,58.0,10.0,0.2796501229433858,3314.903025809588,50.05470870571228,4.661725627734437,2.8725714929999517,0.3165318576845607,0.0,-78.46015490970031,exponential,cosine_weighted,6000,5788,3490,2864,48,2783,50,31,15,223,388,0,0,0.0082930200414651,0.014326647564469915,0.8206303724928367
5,2,3000,58.0,10.0,0.11946632257473196,4086.6959893255903,43.826605541248384,3.248594739093643,4.108168336121188,0.11787170165584923,0.0,-66.65907281208464,exponential,cosine_weighted,6000,5921,4119,3953,262,3634,278,41,0,21,145,0,0,0.04424928221584192,0.06749210973537266,0.9596989560572955
6,2,3000,58.0,10.0,0.1094765999074044,3942.3364074664178,-39.16420365895169,3.281855640626917,2.057897907160268,0.10813798040164735,0.0,-59.73614734362724,exponential,cosine_weighted,6000,5926,4232,3374,50,3295,54,25,8,213,637,0,0,0.008437394532568343,0.01275992438563327,0.7972589792060492
7,2,3000,58.0,10.0,0.16707813360664403,1074.6064530161498,-29.092499410857144,2.507952773233279,3.5242709912632764,0.24396827100924162,0.0,-54.18390170263601,exponential,cosine_weighted,6000,5864,1332,1282,84,1186,86,10,0,17,33,0,0,0.01432469304229195,0.06456456456456457,0.9624624624624625
8,2,3000,58.0,10.0,0.25877558682714236,3274.210631345854,-28.069930558647023,4.527555278295208,3.9979470012120695,0.28970258025096696,0.0,-65.2871269061375,exponential,cosine_weighted,6000,5804,3521,3164,207,2895,214,55,5,117,235,0,0,0.035665058580289455,0.06077818801476853,0.8986083499005965
9,2,3000,58.0,10.0,0.15936009038931476,2282.6949998784053,-57.33176544961454,3.6733769704199064,4.494233608632422,0.3365283552526855,0.0,-54.82608641323894,exponential,cosine_weighted,6000,5885,2587,2412,188,2193,198,21,1,78,96,0,0,0.03194562446898896,0.07653652879783533,0.9323540780827213
10,2,3000,58.0,10.0,0.17141035076999928,2836.01814790773,-10.96908240094609,3.9469892971281175,2.2814026931029012,0.222095957800806,0.0,-68.81158626413858,exponential,cosine_weighted,6000,5885,3111,2499,52,2419,54,26,13,224,375,0,0,0.008836023789294817,0.017357762777242044,0.8032786885245902
11,2,3000,58.0,10.0,0.2359697768299141,2434.23644195411,-23.663744073313882,2.5147250832936745,5.025915880583829,0.11939399254964411,0.0,-59.1990430127131,exponential,cosine_weighted,6000,5819,2659,2635,188,2378,195,62,0,2,22,0,0,0.03230795669358996,0.07333584054155698,0.9909740503948853
