x_pixel,y_pixel,velocity_1e4_m_per_s,velocity_m_per_s,energy_eV,gamma_electrons_per_ion,target,projectile
361,887,30.783206553329524,307832.0655332952,494.63530175226157,0.01426872770511296,Au,H+
390,865,36.38604828406817,363860.4828406817,691.0781763168287,0.09274673008323424,Au,H+
421,833,43.507514519084665,435075.14519084664,988.0659725521067,0.20689655172413793,Au,H+
452,811,52.022791946252156,520227.91946252156,1412.682963479609,0.2853745541022592,Au,H+
477,786,60.089417863740366,600894.1786374036,1884.7484241662294,0.3745541022592152,Au,H+
480,790,61.137900039608695,611379.000396087,1951.0950657564513,0.36028537455410226,Au,H+
501,758,69.00779705797235,690077.9705797236,2485.728677630973,0.47443519619500596,Au,H+
515,736,74.8094728250435,748094.728250435,2921.262503089083,0.5529131985731273,Au,H+
517,733,75.67718021363169,756771.8021363169,2989.422360662416,0.563614744351962,Au,H+
542,690,87.41164275275125,874116.4275275125,3988.3747656641876,0.7170035671819264,Au,H+
545,697,88.93686221148283,889368.6221148283,4128.772957652101,0.6920332936979786,Au,H+
562,660,98.09632883025184,980963.2883025183,5022.9968375646695,0.8240190249702735,Au,H+
575,625,105.73213740621875,1057321.3740621875,5835.410586283576,0.9488703923900119,Au,H+
584,608,111.36393657225811,1113639.365722581,6473.610181410547,1.009512485136742,Au,H+
585,615,112.00792399878918,1120079.2399878919,6548.69692073816,0.9845422116527943,Au,H+
596,584,119.3423698868786,1193423.698868786,7434.413471007719,1.0951248513674197,Au,H+
596,580,119.3423698868786,1193423.698868786,7434.413471007719,1.1093935790725327,Au,H+
597,584,120.03249442831567,1200324.9442831567,7520.64446896835,1.0951248513674197,Au,H+
612,556,130.8764287239018,1308764.287239018,8940.880019866658,1.1950059453032105,Au,H+
623,558,139.4464124378418,1394464.1243784179,10150.14126732071,1.187871581450654,Au,H+
624,552,140.25279320210802,1402527.9320210803,10267.87171294845,1.2092746730083235,Au,H+
628,523,143.52521750454878,1435252.1750454877,10752.608237542021,1.3127229488703924,Au,H+
640,518,153.80777765887154,1538077.7765887154,12348.493852657759,1.3305588585017836,Au,H+
648,486,161.06889755617235,1610688.9755617233,13541.936339011747,1.4447086801426872,Au,H+
656,481,168.6728080650111,1686728.0806501112,14850.721229486404,1.4625445897740785,Au,H+
662,471,174.61040387313926,1746104.0387313927,15914.669691173507,1.4982164090368608,Au,H+
665,443,177.65712828303967,1776571.2828303967,16474.895593202946,1.5980975029726516,Au,H+
673,446,186.044153495343,1860441.53495343,18067.14162691196,1.587395957193817,Au,H+
674,467,187.11999635182175,1871199.9635182174,18276.70054623499,1.512485136741974,Au,H+
683,418,197.08690201792714,1970869.0201792715,20275.56295983812,1.6872770511296076,Au,H+
697,390,213.65654127889277,2136565.4127889276,23828.12023557069,1.7871581450653986,Au,H+
710,377,230.28754541190048,2302875.454119005,27682.053079153862,1.8335315101070155,Au,H+
718,350,241.15920290245694,2411592.0290245693,30357.435085118737,1.929845422116528,Au,H+
722,395,246.78600874580312,2467860.0874580313,31790.58092002223,1.769322235434007,Au,H+
723,361,248.21310526885898,2482131.05268859,32159.316601616043,1.8906064209274673,Au,H+
726,324,252.5441010738354,2525441.010738354,33291.38421604996,2.022592152199762,Au,H+
735,350,265.99580736396223,2659958.0736396224,36932.35302428439,1.929845422116528,Au,H+
740,276,273.7761799661083,2737761.799661083,39124.49225108727,2.1938168846611177,Au,H+
745,342,281.78412832754225,2817841.2832754226,41446.74705396864,1.9583828775267538,Au,H+
756,292,300.235773242978,3002357.73242978,47052.45308447427,2.136741973840666,Au,H+
761,261,309.0176642339422,3090176.642339422,49845.27616985843,2.2473246135552913,Au,H+
780,247,344.7963060064359,3447963.0600643586,62055.83221893594,2.2972651605231866,Au,H+
780,247,344.7963060064359,3447963.0600643586,62055.83221893594,2.2972651605231866,Au,H+
802,226,391.43028500989305,3914302.8500989308,79977.20887739601,2.3721759809750296,Au,H+
824,215,444.3715473566187,4443715.473566187,103074.17870494409,2.4114149821640902,Au,H+
832,231,465.3499083564233,4653499.083564233,113035.9688293363,2.354340071343638,Au,H+
839,216,484.51680873199433,4845168.087319943,122539.21439177082,2.4078478002378123,Au,H+
858,241,540.6150689248177,5406150.689248177,152557.54432221013,2.3186682520808564,Au,H+
879,258,610.2050436582888,6102050.436582888,194360.93584894104,2.258026159334126,Au,H+
904,286,704.8231069341224,7048231.069341224,259309.04316880266,2.158145065398335,Au,H+
918,309,764.0795288734611,7640795.288734611,304743.5511919494,2.0760998810939357,Au,H+
945,356,892.793977692873,8927939.77692873,416063.76978707267,1.9084423305588585,Au,H+
965,393,1001.9238725572628,10019238.725572629,523994.6400868542,1.7764565992865637,Au,H+
966,423,1007.7177264396599,10077177.264396599,530072.4000765196,1.6694411414982167,Au,H+
986,427,1130.8952257139374,11308952.257139374,667578.1855272262,1.6551724137931034,Au,H+
1005,470,1261.832385126322,12618323.85126322,831114.261117292,1.5017835909631392,Au,H+
1007,508,1276.4682493075147,12764682.493075147,850506.0924248232,1.3662306777645659,Au,H+
1018,499,1360.0532937237613,13600532.937237613,965537.7286851951,1.3983353151010702,Au,H+
1022,543,1391.7865045168091,13917865.04516809,1011119.8528148349,1.2413793103448276,Au,H+
1029,512,1449.1116114892293,14491116.114892293,1096127.486702237,1.351961950059453,Au,H+
1044,578,1580.026753899641,15800267.538996411,1303125.6012062265,1.1165279429250892,Au,H+
1068,620,1814.5319002177848,18145319.00217785,1718646.7095237814,0.9667063020214032,Au,H+
1088,648,2036.3296278531861,20363296.27853186,2164479.893200624,0.8668252080856124,Au,H+
1100,675,2182.2181501385917,21822181.501385916,2485728.677630972,0.7705112960760999,Au,H+
1114,690,2365.683246836084,23656832.46836084,2921262.503089081,0.7170035671819264,Au,H+
1121,701,2463.1213558762524,24631213.558762524,3166861.0962333833,0.6777645659928657,Au,H+
1143,713,2796.2605096082393,27962605.096082393,4081432.837538683,0.6349583828775267,Au,H+
1179,759,3441.3423559456087,34413423.55945609,6181774.44894571,0.4708680142687277,Au,H+
1203,781,3952.1011077959015,39521011.077959016,8152925.785407374,0.3923900118906064,Au,H+
1224,800,4460.830205530115,44608302.055301145,10386967.701918148,0.32461355529131986,Au,H+
1242,811,4948.696481433867,49486964.81433867,12783183.748304572,0.2853745541022592,Au,H+
